北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
91.39280125195619,91.39280125195619,89.67136150234741
北方向のばらつきの平均[m], 東方向のばらつきの平均[m], 鉛直方向のばらつきの平均[m]
0.5201289514866982,0.5201289514866982,2.080515805946793
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
0.0118,0.0118,0.0472
0.012,0.012,0.048
0.012,0.012,0.048
0.012,0.012,0.048
0.012,0.012,0.048
0.012,0.012,0.048
0.012,0.012,0.048
0.012,0.012,0.048
0.012,0.012,0.048
0.012,0.012,0.048
0.0126,0.0126,0.0504
0.0116,0.0116,0.0464
0.0116,0.0116,0.0464
0.0116,0.0116,0.0464
0.0116,0.0116,0.0464
0.0116,0.0116,0.0464
0.012,0.012,0.048
0.0116,0.0116,0.0464
0.0116,0.0116,0.0464
0.0116,0.0116,0.0464
0.011200000000000002,0.011200000000000002,0.044800000000000006
0.0116,0.0116,0.0464
0.0124,0.0124,0.0496
0.0124,0.0124,0.0496
0.011200000000000002,0.011200000000000002,0.044800000000000006
0.011200000000000002,0.011200000000000002,0.044800000000000006
0.0116,0.0116,0.0464
0.0116,0.0116,0.0464
0.0116,0.0116,0.0464
0.0116,0.0116,0.0464
0.011200000000000002,0.011200000000000002,0.044800000000000006
0.011200000000000002,0.011200000000000002,0.044800000000000006
0.011200000000000002,0.011200000000000002,0.044800000000000006
0.011200000000000002,0.011200000000000002,0.044800000000000006
0.0116,0.0116,0.0464
0.0116,0.0116,0.0464
0.0116,0.0116,0.0464
0.011200000000000002,0.011200000000000002,0.044800000000000006
0.011200000000000002,0.011200000000000002,0.044800000000000006
0.012,0.012,0.048
0.011399999999999999,0.011399999999999999,0.045599999999999995
0.0116,0.0116,0.0464
0.011399999999999999,0.011399999999999999,0.045599999999999995
0.011000000000000001,0.011000000000000001,0.044000000000000004
0.011000000000000001,0.011000000000000001,0.044000000000000004
0.011200000000000002,0.011200000000000002,0.044800000000000006
0.011000000000000001,0.011000000000000001,0.044000000000000004
0.011000000000000001,0.011000000000000001,0.044000000000000004
0.011200000000000002,0.011200000000000002,0.044800000000000006
0.011399999999999999,0.011399999999999999,0.045599999999999995
0.012,0.012,0.048
0.012,0.012,0.048
0.0128,0.0128,0.0512
0.0122,0.0122,0.0488
0.0122,0.0122,0.0488
0.0122,0.0122,0.0488
0.0122,0.0122,0.0488
0.0124,0.0124,0.0496
0.0124,0.0124,0.0496
0.013200000000000002,0.013200000000000002,0.05280000000000001
0.0124,0.0124,0.0496
0.0134,0.0134,0.0536
0.0128,0.0128,0.0512
0.0138,0.0138,0.0552
0.014199999999999999,0.014199999999999999,0.056799999999999996
0.0138,0.0138,0.0552
0.014199999999999999,0.014199999999999999,0.056799999999999996
0.014199999999999999,0.014199999999999999,0.056799999999999996
0.0148,0.0148,0.0592
0.0148,0.0148,0.0592
0.0152,0.0152,0.0608
0.0152,0.0152,0.0608
0.0148,0.0148,0.0592
0.0148,0.0148,0.0592
0.0152,0.0152,0.0608
0.0152,0.0152,0.0608
0.0152,0.0152,0.0608
