北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
65.8747300216,65.8747300216,59.6112311015
北方向のばらつきの平均[m],東方向のばらつきの平均[m],鉛直方向のばらつきの平均[m]
2.9127713092,2.9127713092,46.6043409472
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
0.0001795600,0.0001795600,0.0028729600
0.0001440000,0.0001440000,0.0023040000
0.0001587600,0.0001587600,0.0025401600
0.0001587600,0.0001587600,0.0025401600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001690000,0.0001690000,0.0027040000
0.0001849600,0.0001849600,0.0029593600
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001690000,0.0001690000,0.0027040000
0.0001795600,0.0001795600,0.0028729600
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001795600,0.0001795600,0.0028729600
0.0004000000,0.0004000000,0.0064000000
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0002016400,0.0002016400,0.0032262400
0.0002016400,0.0002016400,0.0032262400
0.0001795600,0.0001795600,0.0028729600
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001795600,0.0001795600,0.0028729600
0.0001690000,0.0001690000,0.0027040000
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001440000,0.0001440000,0.0023040000
0.0001537600,0.0001537600,0.0024601600
0.0001440000,0.0001440000,0.0023040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001795600,0.0001795600,0.0028729600
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0002073600,0.0002073600,0.0033177600
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001742400,0.0001742400,0.0027878400
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001904400,0.0001904400,0.0030470400
0.0001690000,0.0001690000,0.0027040000
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001254400,0.0001254400,0.0020070400
0.0001254400,0.0001254400,0.0020070400
0.0001254400,0.0001254400,0.0020070400
0.0001254400,0.0001254400,0.0020070400
0.0001254400,0.0001254400,0.0020070400
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001392400,0.0001392400,0.0022278400
0.0001488400,0.0001488400,0.0023814400
0.0001299600,0.0001299600,0.0020793600
0.0002131600,0.0002131600,0.0034105600
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002310400,0.0002310400,0.0036966400
0.0002310400,0.0002310400,0.0036966400
0.0002131600,0.0002131600,0.0034105600
0.0002433600,0.0002433600,0.0038937600
0.0002250000,0.0002250000,0.0036000000
0.0002433600,0.0002433600,0.0038937600
0.0002433600,0.0002433600,0.0038937600
0.0002433600,0.0002433600,0.0038937600
9.7344000000,9.7344000000,155.7504000000
0.0060840000,0.0060840000,0.0973440000
13.8384000000,13.8384000000,221.4144000000
0.0100000000,0.0100000000,0.1600000000
13.8384000000,13.8384000000,221.4144000000
12.6736000000,12.6736000000,202.7776000000
12.6736000000,12.6736000000,202.7776000000
9.2416000000,9.2416000000,147.8656000000
12.1104000000,12.1104000000,193.7664000000
9.9856000000,9.9856000000,159.7696000000
9.9856000000,9.9856000000,159.7696000000
9.9856000000,9.9856000000,159.7696000000
9.2416000000,9.2416000000,147.8656000000
8.7616000000,8.7616000000,140.1856000000
8.5264000000,8.5264000000,136.4224000000
8.5264000000,8.5264000000,136.4224000000
8.5264000000,8.5264000000,136.4224000000
8.5264000000,8.5264000000,136.4224000000
8.7616000000,8.7616000000,140.1856000000
8.5264000000,8.5264000000,136.4224000000
8.5264000000,8.5264000000,136.4224000000
8.5264000000,8.5264000000,136.4224000000
0.0002250000,0.0002250000,0.0036000000
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
8.5264000000,8.5264000000,136.4224000000
8.5264000000,8.5264000000,136.4224000000
8.5264000000,8.5264000000,136.4224000000
8.5264000000,8.5264000000,136.4224000000
9.0000000000,9.0000000000,144.0000000000
8.5264000000,8.5264000000,136.4224000000
8.5264000000,8.5264000000,136.4224000000
8.7616000000,8.7616000000,140.1856000000
8.5264000000,8.5264000000,136.4224000000
8.5264000000,8.5264000000,136.4224000000
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002250000,0.0002250000,0.0036000000
0.0002190400,0.0002190400,0.0035046400
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002822400,0.0002822400,0.0045158400
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0003027600,0.0003027600,0.0048441600
0.0003027600,0.0003027600,0.0048441600
0.0003027600,0.0003027600,0.0048441600
0.0002310400,0.0002310400,0.0036966400
0.0002190400,0.0002190400,0.0035046400
0.0003027600,0.0003027600,0.0048441600
0.0002131600,0.0002131600,0.0034105600
0.0002250000,0.0002250000,0.0036000000
0.0002958400,0.0002958400,0.0047334400
0.0003027600,0.0003027600,0.0048441600
0.0001440000,0.0001440000,0.0023040000
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001537600,0.0001537600,0.0024601600
