北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
93.3483652762,93.3483652762,83.8782412627
北方向のばらつきの平均[m],東方向のばらつきの平均[m],鉛直方向のばらつきの平均[m]
0.6841783200,0.6841783200,10.9468531193
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001849600,0.0001849600,0.0029593600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001345600,0.0001345600,0.0021529600
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001345600,0.0001345600,0.0021529600
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001742400,0.0001742400,0.0027878400
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001742400,0.0001742400,0.0027878400
0.0001345600,0.0001345600,0.0021529600
0.0001742400,0.0001742400,0.0027878400
0.0001345600,0.0001345600,0.0021529600
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001795600,0.0001795600,0.0028729600
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001795600,0.0001795600,0.0028729600
0.0002016400,0.0002016400,0.0032262400
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001795600,0.0001795600,0.0028729600
0.0002073600,0.0002073600,0.0033177600
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001960000,0.0001960000,0.0031360000
0.0001904400,0.0001904400,0.0030470400
0.0001849600,0.0001849600,0.0029593600
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001849600,0.0001849600,0.0029593600
0.0002016400,0.0002016400,0.0032262400
0.0002016400,0.0002016400,0.0032262400
0.0002131600,0.0002131600,0.0034105600
0.0002016400,0.0002016400,0.0032262400
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002016400,0.0002016400,0.0032262400
0.0002016400,0.0002016400,0.0032262400
0.0001960000,0.0001960000,0.0031360000
0.0001795600,0.0001795600,0.0028729600
0.0002016400,0.0002016400,0.0032262400
0.0002016400,0.0002016400,0.0032262400
0.0002016400,0.0002016400,0.0032262400
0.0002016400,0.0002016400,0.0032262400
0.0002016400,0.0002016400,0.0032262400
0.0002016400,0.0002016400,0.0032262400
0.0002016400,0.0002016400,0.0032262400
0.0002016400,0.0002016400,0.0032262400
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001960000,0.0001960000,0.0031360000
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0002496400,0.0002496400,0.0039942400
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001742400,0.0001742400,0.0027878400
0.0001795600,0.0001795600,0.0028729600
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002958400,0.0002958400,0.0047334400
0.0002958400,0.0002958400,0.0047334400
0.0002496400,0.0002496400,0.0039942400
0.0002689600,0.0002689600,0.0043033600
0.0002689600,0.0002689600,0.0043033600
0.0002958400,0.0002958400,0.0047334400
0.0002958400,0.0002958400,0.0047334400
0.0002433600,0.0002433600,0.0038937600
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002433600,0.0002433600,0.0038937600
0.0002433600,0.0002433600,0.0038937600
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0002958400,0.0002958400,0.0047334400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0002958400,0.0002958400,0.0047334400
0.0001904400,0.0001904400,0.0030470400
0.0002433600,0.0002433600,0.0038937600
0.0002433600,0.0002433600,0.0038937600
0.0001795600,0.0001795600,0.0028729600
0.0002433600,0.0002433600,0.0038937600
0.0002433600,0.0002433600,0.0038937600
0.0001742400,0.0001742400,0.0027878400
0.0002433600,0.0002433600,0.0038937600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0002433600,0.0002433600,0.0038937600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001488400,0.0001488400,0.0023814400
0.0001537600,0.0001537600,0.0024601600
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001690000,0.0001690000,0.0027040000
0.0001537600,0.0001537600,0.0024601600
0.0001795600,0.0001795600,0.0028729600
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0001690000,0.0001690000,0.0027040000
0.0002310400,0.0002310400,0.0036966400
0.0002073600,0.0002073600,0.0033177600
0.0002310400,0.0002310400,0.0036966400
0.0002310400,0.0002310400,0.0036966400
0.0002310400,0.0002310400,0.0036966400
0.0002624400,0.0002624400,0.0041990400
0.0002624400,0.0002624400,0.0041990400
10.4976000000,10.4976000000,167.9616000000
0.0065610000,0.0065610000,0.1049760000
0.0054760000,0.0054760000,0.0876160000
0.0054760000,0.0054760000,0.0876160000
0.0054760000,0.0054760000,0.0876160000
0.0054760000,0.0054760000,0.0876160000
0.0056250000,0.0056250000,0.0900000000
0.0059290000,0.0059290000,0.0948640000
0.0067240000,0.0067240000,0.1075840000
0.0067240000,0.0067240000,0.1075840000
0.0056250000,0.0056250000,0.0900000000
0.0067240000,0.0067240000,0.1075840000
0.0079210000,0.0079210000,0.1267360000
0.0098010000,0.0098010000,0.1568160000
0.0079210000,0.0079210000,0.1267360000
0.0079210000,0.0079210000,0.1267360000
0.0094090000,0.0094090000,0.1505440000
0.0079210000,0.0079210000,0.1267360000
0.0094090000,0.0094090000,0.1505440000
0.0075690000,0.0075690000,0.1211040000
0.0081000000,0.0081000000,0.1296000000
0.0086490000,0.0086490000,0.1383840000
0.0075690000,0.0075690000,0.1211040000
0.0079210000,0.0079210000,0.1267360000
0.0079210000,0.0079210000,0.1267360000
0.0088360000,0.0088360000,0.1413760000
0.0065610000,0.0065610000,0.1049760000
0.0077440000,0.0077440000,0.1239040000
0.0096040000,0.0096040000,0.1536640000
0.0065610000,0.0065610000,0.1049760000
0.0065610000,0.0065610000,0.1049760000
0.0057760000,0.0057760000,0.0924160000
0.0073960000,0.0073960000,0.1183360000
0.0067240000,0.0067240000,0.1075840000
0.0102010000,0.0102010000,0.1632160000
10.7584000000,10.7584000000,172.1344000000
10.7584000000,10.7584000000,172.1344000000
10.7584000000,10.7584000000,172.1344000000
10.7584000000,10.7584000000,172.1344000000
10.7584000000,10.7584000000,172.1344000000
10.4976000000,10.4976000000,167.9616000000
10.7584000000,10.7584000000,172.1344000000
10.7584000000,10.7584000000,172.1344000000
10.7584000000,10.7584000000,172.1344000000
10.7584000000,10.7584000000,172.1344000000
10.7584000000,10.7584000000,172.1344000000
12.1104000000,12.1104000000,193.7664000000
10.7584000000,10.7584000000,172.1344000000
10.7584000000,10.7584000000,172.1344000000
14.7456000000,14.7456000000,235.9296000000
9.9856000000,9.9856000000,159.7696000000
9.9856000000,9.9856000000,159.7696000000
15.3664000000,15.3664000000,245.8624000000
11.0224000000,11.0224000000,176.3584000000
10.7584000000,10.7584000000,172.1344000000
16.3216000000,16.3216000000,261.1456000000
10.7584000000,10.7584000000,172.1344000000
10.7584000000,10.7584000000,172.1344000000
10.4976000000,10.4976000000,167.9616000000
10.7584000000,10.7584000000,172.1344000000
12.3904000000,12.3904000000,198.2464000000
12.9600000000,12.9600000000,207.3600000000
10.7584000000,10.7584000000,172.1344000000
12.1104000000,12.1104000000,193.7664000000
12.3904000000,12.3904000000,198.2464000000
10.7584000000,10.7584000000,172.1344000000
10.7584000000,10.7584000000,172.1344000000
17.6400000000,17.6400000000,282.2400000000
10.7584000000,10.7584000000,172.1344000000
11.0224000000,11.0224000000,176.3584000000
15.6816000000,15.6816000000,250.9056000000
12.1104000000,12.1104000000,193.7664000000
10.7584000000,10.7584000000,172.1344000000
12.1104000000,12.1104000000,193.7664000000
12.3904000000,12.3904000000,198.2464000000
0.0003385600,0.0003385600,0.0054169600
0.0003385600,0.0003385600,0.0054169600
0.0002560000,0.0002560000,0.0040960000
0.0002560000,0.0002560000,0.0040960000
0.0003610000,0.0003610000,0.0057760000
0.0003027600,0.0003027600,0.0048441600
0.0003027600,0.0003027600,0.0048441600
0.0002755600,0.0002755600,0.0044089600
0.0002560000,0.0002560000,0.0040960000
0.0002560000,0.0002560000,0.0040960000
0.0002755600,0.0002755600,0.0044089600
0.0002560000,0.0002560000,0.0040960000
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0002190400,0.0002190400,0.0035046400
0.0001742400,0.0001742400,0.0027878400
0.0001849600,0.0001849600,0.0029593600
0.0002560000,0.0002560000,0.0040960000
0.0001742400,0.0001742400,0.0027878400
6.9696000000,6.9696000000,111.5136000000
16.9744000000,16.9744000000,271.5904000000
0.0047610000,0.0047610000,0.0761760000
9.7344000000,9.7344000000,155.7504000000
0.0075690000,0.0075690000,0.1211040000
0.0043560000,0.0043560000,0.0696960000
0.0047610000,0.0047610000,0.0761760000
0.0070560000,0.0070560000,0.1128960000
0.0059290000,0.0059290000,0.0948640000
0.0044890000,0.0044890000,0.0718240000
0.0053290000,0.0053290000,0.0852640000
0.0046240000,0.0046240000,0.0739840000
0.0046240000,0.0046240000,0.0739840000
0.0057760000,0.0057760000,0.0924160000
0.0050410000,0.0050410000,0.0806560000
0.0046240000,0.0046240000,0.0739840000
0.0056250000,0.0056250000,0.0900000000
0.0050410000,0.0050410000,0.0806560000
0.0053290000,0.0053290000,0.0852640000
0.0050410000,0.0050410000,0.0806560000
0.0050410000,0.0050410000,0.0806560000
0.0050410000,0.0050410000,0.0806560000
0.0070560000,0.0070560000,0.1128960000
0.0051840000,0.0051840000,0.0829440000
0.0050410000,0.0050410000,0.0806560000
0.0056250000,0.0056250000,0.0900000000
0.0050410000,0.0050410000,0.0806560000
0.0057760000,0.0057760000,0.0924160000
0.0049000000,0.0049000000,0.0784000000
0.0050410000,0.0050410000,0.0806560000
0.0051840000,0.0051840000,0.0829440000
0.0051840000,0.0051840000,0.0829440000
0.0050410000,0.0050410000,0.0806560000
0.0050410000,0.0050410000,0.0806560000
0.0049000000,0.0049000000,0.0784000000
0.0056250000,0.0056250000,0.0900000000
0.0054760000,0.0054760000,0.0876160000
0.0064000000,0.0064000000,0.1024000000
0.0046240000,0.0046240000,0.0739840000
0.0051840000,0.0051840000,0.0829440000
0.0060840000,0.0060840000,0.0973440000
0.0050410000,0.0050410000,0.0806560000
0.0050410000,0.0050410000,0.0806560000
0.0070560000,0.0070560000,0.1128960000
0.0047610000,0.0047610000,0.0761760000
0.0040960000,0.0040960000,0.0655360000
0.0057760000,0.0057760000,0.0924160000
0.0047610000,0.0047610000,0.0761760000
0.0044890000,0.0044890000,0.0718240000
0.0086490000,0.0086490000,0.1383840000
0.0044890000,0.0044890000,0.0718240000
0.0044890000,0.0044890000,0.0718240000
0.0046240000,0.0046240000,0.0739840000
0.0040960000,0.0040960000,0.0655360000
6.9696000000,6.9696000000,111.5136000000
9.2416000000,9.2416000000,147.8656000000
8.0656000000,8.0656000000,129.0496000000
8.0656000000,8.0656000000,129.0496000000
9.4864000000,9.4864000000,151.7824000000
6.7600000000,6.7600000000,108.1600000000
6.3504000000,6.3504000000,101.6064000000
7.8400000000,7.8400000000,125.4400000000
6.5536000000,6.5536000000,104.8576000000
0.0001638400,0.0001638400,0.0026214400
0.0001849600,0.0001849600,0.0029593600
0.0001537600,0.0001537600,0.0024601600
0.0001638400,0.0001638400,0.0026214400
0.0001742400,0.0001742400,0.0027878400
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001742400,0.0001742400,0.0027878400
0.0001488400,0.0001488400,0.0023814400
0.0001904400,0.0001904400,0.0030470400
0.0002190400,0.0002190400,0.0035046400
0.0001960000,0.0001960000,0.0031360000
0.0001638400,0.0001638400,0.0026214400
0.0001742400,0.0001742400,0.0027878400
0.0001587600,0.0001587600,0.0025401600
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001742400,0.0001742400,0.0027878400
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001587600,0.0001587600,0.0025401600
0.0001587600,0.0001587600,0.0025401600
0.0001587600,0.0001587600,0.0025401600
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001345600,0.0001345600,0.0021529600
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001440000,0.0001440000,0.0023040000
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001488400,0.0001488400,0.0023814400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001440000,0.0001440000,0.0023040000
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001795600,0.0001795600,0.0028729600
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001849600,0.0001849600,0.0029593600
0.0001849600,0.0001849600,0.0029593600
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001488400,0.0001488400,0.0023814400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
